id_amzn,id_g,y
b00001qgvr,http://www.google.com/base/feeds/snippets/17956725325082284641,1
b00001xdw7,http://www.google.com/base/feeds/snippets/10541632718220382972,1
b00002s5ig,http://www.google.com/base/feeds/snippets/10121034673222484873,1
b00002s5ig,http://www.google.com/base/feeds/snippets/16696977577840370909,1
b00002s5ig,http://www.google.com/base/feeds/snippets/4015258116571466944,1
b00002s5ig,http://www.google.com/base/feeds/snippets/8376577004489658408,1
b00002s75b,http://www.google.com/base/feeds/snippets/18029245320668853953,1
b00004nhn7,http://www.google.com/base/feeds/snippets/18434385825570199468,1
b00004ochi,http://www.google.com/base/feeds/snippets/13869960802688221937,1
b00004ochi,http://www.google.com/base/feeds/snippets/2954833753751672874,1
b00004ochi,http://www.google.com/base/feeds/snippets/8564521918031484066,1
b00004ochj,http://www.google.com/base/feeds/snippets/5722368875390495429,1
b00004tkvy,http://www.google.com/base/feeds/snippets/18441110047404795849,1
b000056b62,http://www.google.com/base/feeds/snippets/18446496383812786183,1
b00005atxo,http://www.google.com/base/feeds/snippets/11430069725574750424,1
b00005birs,http://www.google.com/base/feeds/snippets/16816523477506304009,1
b00005ld1r,http://www.google.com/base/feeds/snippets/18367097829354438075,1
b00005op44,http://www.google.com/base/feeds/snippets/18381906790026125106,1
b00005wf9v,http://www.google.com/base/feeds/snippets/16689580885336652505,1
b00005yx8i,http://www.google.com/base/feeds/snippets/18417819850768172148,1
b000063v0z,http://www.google.com/base/feeds/snippets/3325089562849958903,1
b000067vpa,http://www.google.com/base/feeds/snippets/18389772286278704810,1
b000068u3h,http://www.google.com/base/feeds/snippets/11635339528486156141,1
b000068xl9,http://www.google.com/base/feeds/snippets/18398774476993389905,1
b0000696oh,http://www.google.com/base/feeds/snippets/18180725296745787083,1
b00006gxbz,http://www.google.com/base/feeds/snippets/3767792591229692245,1
b00006gxbz,http://www.google.com/base/feeds/snippets/6859916462314032120,1
b00006gxbz,http://www.google.com/base/feeds/snippets/9070775827291844765,1
b00006h38u,http://www.google.com/base/feeds/snippets/18406000514365649458,1
b00006hvvo,http://www.google.com/base/feeds/snippets/3409784122469217433,1
b00006hvvo,http://www.google.com/base/feeds/snippets/9687887699930800156,1
b00006iqth,http://www.google.com/base/feeds/snippets/13286819633533674312,1
b00006j02n,http://www.google.com/base/feeds/snippets/18268949289189904876,1
b00006rgnx,http://www.google.com/base/feeds/snippets/6732814497585724663,1
b000070ilx,http://www.google.com/base/feeds/snippets/13036666023758000710,1
b00007bguc,http://www.google.com/base/feeds/snippets/17967569973770560353,1
b00007e8bi,http://www.google.com/base/feeds/snippets/18286585073343765950,1
b00007eegy,http://www.google.com/base/feeds/snippets/3997486488729671932,1
b00007kh02,http://www.google.com/base/feeds/snippets/4749954713094759082,1
b00007kh02,http://www.google.com/base/feeds/snippets/7249154325906371083,1
b000088ner,http://www.google.com/base/feeds/snippets/1347968736695236641,1
b000088ner,http://www.google.com/base/feeds/snippets/4776201646741876078,1
b0000899lt,http://www.google.com/base/feeds/snippets/16676630267570211401,1
b00008ajjc,http://www.google.com/base/feeds/snippets/18424464601572004274,1
b00008mnxq,http://www.google.com/base/feeds/snippets/18380054536947094037,1
b00008mnxr,http://www.google.com/base/feeds/snippets/13582930230756997101,1
b00008mnxz,http://www.google.com/base/feeds/snippets/18389048469504944658,1
b00008mnxz,http://www.google.com/base/feeds/snippets/9445487736380311288,1
b00008mopv,http://www.google.com/base/feeds/snippets/16621550764866327052,1
b000090179,http://www.google.com/base/feeds/snippets/16002979675138477406,1
b000090179,http://www.google.com/base/feeds/snippets/17953929889613420408,1
b000090179,http://www.google.com/base/feeds/snippets/4323218411575640054,1
b000090179,http://www.google.com/base/feeds/snippets/9700384320550908183,1
b0000959kx,http://www.google.com/base/feeds/snippets/6052848636732301170,1
b000098xiy,http://www.google.com/base/feeds/snippets/12991839860010855049,1
b000098xjo,http://www.google.com/base/feeds/snippets/16361312648941715869,1
b0000990y7,http://www.google.com/base/feeds/snippets/13833576505530604294,1
b000099107,http://www.google.com/base/feeds/snippets/16698946140878275557,1
b000099108,http://www.google.com/base/feeds/snippets/18105761375553744131,1
